"행정구역별(시군구)","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","연령별",내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
"읍부","75~79세",144339,825,75317,65707,2490,56716,286,47136,8054,1240,87623,539,28181,57653,1250
"읍부","80~84세",89641,572,33469,54759,841,29391,129,22409,6459,394,60250,443,11060,48300,447
"읍부","85세이상",57843,587,11776,45132,348,14215,85,8824,5183,123,43628,502,2952,39949,225
"면부","합계",4113030,966168,2360575,616725,169562,2066453,619601,1264197,78660,103995,2046577,346567,1096378,538065,65567
"면부","15~19세",217307,216130,669,451,57,116667,116097,374,173,23,100640,100033,295,278,34
"면부","20~24세",234556,225215,7832,1191,318,136203,133259,2462,341,141,98353,91956,5370,850,177
"면부","25~29세",200651,160806,38190,515,1140,116877,103115,13206,150,406,83774,57691,24984,365,734
"면부","30~34세",218038,108257,104989,701,4091,123419,75852,45484,173,1910,94619,32405,59505,528,2181
"면부","35~39세",225885,71786,143594,1186,9319,127047,53698,68199,385,4765,98838,18088,75395,801,4554
"면부","40~44세",265405,62081,181061,2887,19376,153556,48909,92569,824,11254,111849,13172,88492,2063,8122
"면부","45~49세",313660,46568,232165,6361,28566,173388,36855,117276,1563,17694,140272,9713,114889,4798,10872
"면부","50~54세",384199,32804,302116,14627,34652,204713,25417,153928,3168,22200,179486,7387,148188,11459,12452
"면부","55~59세",434915,20559,352675,30173,31508,224288,14686,183899,5691,20012,210627,5873,168776,24482,11496
"면부","60~64세",361457,9350,290092,43261,18754,181942,5892,157296,6747,12007,179515,3458,132796,36514,6747
"면부","65~69세",312724,5055,234542,62307,10820,153521,2877,135075,8445,7124,159203,2178,99467,53862,3696
