지역별(1),지표별(1),지표별(2),2017,2018,2019,2020
대구광역시,환경,기온 (℃),14.4,14.1,14.8,14.5
대구광역시,환경,상수도보급률 (%),100,100,100,-
대구광역시,환경,개발제한구역 (km²),401,401,401,-
대구광역시,환경,최종에너지소비량 (1000 toe),4414,4492,4394,-
대구광역시,환경,도시가스 보급률 (%),95.7,96.4,97.1,-
대구광역시,사회통합,인구십만명당 자살률 (십만명당),24.9,26.8,28.7,-
대구광역시,사회통합,건강보험 적용인구 현황,2388454,2376565,2358099,-
대구광역시,사회통합,사회복지시설 종사자 수 (명),23159,23464,23449,-
대구광역시,사회통합,사회복지 전담공무원 현황 (명),1070,1129,1159,-
대구광역시,사회통합,지방자치단체공무원 현원 (명),12610,12912,13321,-
대구광역시,사회통합,등록장애인수 (명),-,-,125485,-
대구광역시,사회통합,국민기초생활보장 수급자수 (명),103132,110495,117594,-
