여자키비율,2015,,,,,,,,
평균,표준편차,최소값,145.5~150.6,150.7~155.8,155.9~161.0,161.1~166.1,166.2~171.3,171.4~176.6,최대값
160.915,52.17,145.5,9.0 ,53.0 ,118.0 ,126.0 ,46.0 ,10.0 ,176.6
,비율,362,2.5 ,14.6 ,32.6 ,34.8 ,12.7 ,2.8 ,
